Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
China,2022,"Fish; frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",Export,14833507,3593586,Weight in kilograms,3593586
China,2022,"Fish; frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",Import,172392649,50477287,Weight in kilograms,50477287
China,2022,"Fish fillets; fresh or chilled, tilapias (Oreochromis spp.)",Export,172015,37967,Weight in kilograms,37967
China,2022,"Fish fillets; fresh or chilled, carp (as specified by the WCO), eels (Anguilla spp.), and snakeheads (Channa spp.)",Export,1883994,355299,Weight in kilograms,355299
China,2022,"Fish fillets; fresh or chilled, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic (Salmo salar), Danube (Hucho hucho)",Import,7362004,437527,Weight in kilograms,437527
China,2022,"Fish fillets; fresh or chilled, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, and Muraenolepididae",Export,13239,3072,Weight in kilograms,3072
China,2022,"Fish fillets; fresh or chilled, other than fish of heading 0304.4",Import,2366044,119928,Weight in kilograms,119928
China,2022,"Fish fillets; fresh or chilled, other than fish of heading 0304.4",Export,1485260,144040,Weight in kilograms,144040
China,2022,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, tilapias, catfish, carp, eels, Nile perch, and snakeheads",Export,26440747,4861520,Weight in kilograms,4861520
China,2022,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, salmonidae",Import,1231176,53896,Weight in kilograms,53896
China,2022,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, and Muraenolepididae",Import,13957,419,Weight in kilograms,419
China,2022,"Fish meat; excluding fillets, whether or not minced; fresh or chilled, of fish n.e.c. in item no. 0304.5",Import,5859972,82854,Weight in kilograms,82854
China,2022,"Fish meat; excluding fillets, whether or not minced; fresh or chilled, of fish n.e.c. in item no. 0304.5",Export,675425,156883,Weight in kilograms,156883
China,2022,"Fish fillets; frozen, tilapias (Oreochromis spp.)",Export,103574479,27153070,Weight in kilograms,27153070
China,2022,"Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",Export,8187398,1144416,Weight in kilograms,1144416
China,2022,"Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",Import,492072674,200234590,Weight in kilograms,200234590
China,2022,"Fish fillets; frozen, Nile Perch (Lates niloticus)",Export,254101,31948,Weight in kilograms,31948
China,2022,"Fish fillets; frozen, Nile Perch (Lates niloticus)",Import,7222,600,Weight in kilograms,600
China,2022,"Fish fillets; frozen, carp (Cyprinus/Carassius/Ctenopharyngodon idellus/Hypophthalmichthys/Cirrhinus/Mylopharyngodon piceus/Catla catla/Labeo/Osteochilus hasselti/Leptobarbus hoeveni/Megalobrama), eels (Anguilla) and snakeheads (Channa)",Export,24190291,2293594,Weight in kilograms,2293594
China,2022,"Fish fillets; frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",Import,2113876,226039,Weight in kilograms,226039
China,2022,"Fish fillets; frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",Export,816289033,102667572,Weight in kilograms,102667572
China,2022,"Fish fillets; frozen, haddock (Melanogrammus aeglefinus)",Export,204147289,27692347,Weight in kilograms,27692347
China,2022,"Fish fillets; frozen, coalfish (Pollachius virens)",Export,51715702,6733086,Weight in kilograms,6733086
China,2022,"Fish fillets; frozen, coalfish (Pollachius virens)",Import,262330,85172,Weight in kilograms,85172
China,2022,"Fish fillets; frozen, hake (Merluccius spp., Urophycis spp.)",Export,32070135,7532185,Weight in kilograms,7532185
China,2022,"Fish fillets; frozen, hake (Merluccius spp., Urophycis spp.)",Import,35647,6477,Weight in kilograms,6477
China,2022,"Fish fillets; frozen, Alaska pollock (Theragra chalcogramma)",Export,739041641,207851622,Weight in kilograms,207851622
China,2022,"Fish fillets; frozen, Alaska pollock (Theragra chalcogramma)",Import,35112237,8292927,Weight in kilograms,8292927
China,2022,"Fish fillets; frozen, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae other than cod, haddock, coalfish, hake, and Alaska pollock",Export,45203348,10500183,Weight in kilograms,10500183
China,2022,"Fish fillets; frozen, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae other than cod, haddock, coalfish, hake, and Alaska pollock",Import,5062352,1428096,Weight in kilograms,1428096
China,2022,"Fish fillets; frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",Export,539962584,70702705,Weight in kilograms,70702705
